Original_function_call;input_dir_tif;input_file_czi;cilium_color;nucleus_color;projection_method_for_threshold_calculation;threshold_by_density_of_cilium_pixels;threshold_find;threshold_connect;vicinity_combine;vicinity_connect;min_cilium_area_in_pixels;max_cilium_area_in_pixels;number_size_factor;pixel_size;slice_distance;nuc_mask_width_height_in_pixels
"detectCilia::detectCilia(input_dir_tif = tif_dirs[i], cilium_color = ""green"", nucleus_color = NULL, min_cilium_area_in_pixels = 5, max_cilium_area_in_pixels = 100, number_size_factor = 0.2, pixel_size = 1, slice_distance = 1, export_normalized_images = FALSE, number_of_expected_nuclei = number_of_expected_nulcei)";E:/PhD/Data/Cilia/artificialCilia/horizontal_blur/ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_1.2;NA;green;NA;max;TRUE;0,586083772030213;0,0586083772030213;5;1;5;100;0,2;1;1;45
"detectCilia::detectCilia(input_dir_tif = tif_dirs[i], cilium_color = ""green"", nucleus_color = NULL, min_cilium_area_in_pixels = 5, max_cilium_area_in_pixels = 100, number_size_factor = 0.2, pixel_size = 1, slice_distance = 1, export_normalized_images = FALSE, number_of_expected_nuclei = number_of_expected_nulcei)";E:/PhD/Data/Cilia/artificialCilia/horizontal_blur/ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_1.3;NA;green;NA;max;TRUE;0,555031662470436;0,0555031662470436;5;1;5;100;0,2;1;1;45
"detectCilia::detectCilia(input_dir_tif = tif_dirs[i], cilium_color = ""green"", nucleus_color = NULL, min_cilium_area_in_pixels = 5, max_cilium_area_in_pixels = 100, number_size_factor = 0.2, pixel_size = 1, slice_distance = 1, export_normalized_images = FALSE, number_of_expected_nuclei = number_of_expected_nulcei)";E:/PhD/Data/Cilia/artificialCilia/horizontal_blur/ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_1.4;NA;green;NA;max;TRUE;0,525307087815671;0,0525307087815671;5;1;5;100;0,2;1;1;45
"detectCilia::detectCilia(input_dir_tif = tif_dirs[i], cilium_color = ""green"", nucleus_color = NULL, min_cilium_area_in_pixels = 5, max_cilium_area_in_pixels = 100, number_size_factor = 0.2, pixel_size = 1, slice_distance = 1, export_normalized_images = FALSE, number_of_expected_nuclei = number_of_expected_nulcei)";E:/PhD/Data/Cilia/artificialCilia/horizontal_blur/ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_1.5;NA;green;NA;max;TRUE;0,497764553292134;0,0497764553292134;5;1;5;100;0,2;1;1;45
"detectCilia::detectCilia(input_dir_tif = tif_dirs[i], cilium_color = ""green"", nucleus_color = NULL, min_cilium_area_in_pixels = 5, max_cilium_area_in_pixels = 100, number_size_factor = 0.2, pixel_size = 1, slice_distance = 1, export_normalized_images = FALSE, number_of_expected_nuclei = number_of_expected_nulcei)";E:/PhD/Data/Cilia/artificialCilia/horizontal_blur/ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_1.6;NA;green;NA;max;TRUE;0,472114137483787;0,0472114137483787;5;1;5;100;0,2;1;1;45
"detectCilia::detectCilia(input_dir_tif = tif_dirs[i], cilium_color = ""green"", nucleus_color = NULL, min_cilium_area_in_pixels = 5, max_cilium_area_in_pixels = 100, number_size_factor = 0.2, pixel_size = 1, slice_distance = 1, export_normalized_images = FALSE, number_of_expected_nuclei = number_of_expected_nulcei)";E:/PhD/Data/Cilia/artificialCilia/horizontal_blur/ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_1.7;NA;green;NA;max;TRUE;0,447775997558557;0,0447775997558557;5;1;5;100;0,2;1;1;45
"detectCilia::detectCilia(input_dir_tif = tif_dirs[i], cilium_color = ""green"", nucleus_color = NULL, min_cilium_area_in_pixels = 5, max_cilium_area_in_pixels = 100, number_size_factor = 0.2, pixel_size = 1, slice_distance = 1, export_normalized_images = FALSE, number_of_expected_nuclei = number_of_expected_nulcei)";E:/PhD/Data/Cilia/artificialCilia/horizontal_blur/ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_1.8;NA;green;NA;max;TRUE;0,425452048523690;0,0425452048523690;5;1;5;100;0,2;1;1;45
"detectCilia::detectCilia(input_dir_tif = tif_dirs[i], cilium_color = ""green"", nucleus_color = NULL, min_cilium_area_in_pixels = 5, max_cilium_area_in_pixels = 100, number_size_factor = 0.2, pixel_size = 1, slice_distance = 1, export_normalized_images = FALSE, number_of_expected_nuclei = number_of_expected_nulcei)";E:/PhD/Data/Cilia/artificialCilia/horizontal_blur/ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_1.9;NA;green;NA;max;TRUE;0,404776073853666;0,0404776073853666;5;1;5;100;0,2;1;1;45
"detectCilia::detectCilia(input_dir_tif = tif_dirs[i], cilium_color = ""green"", nucleus_color = NULL, min_cilium_area_in_pixels = 5, max_cilium_area_in_pixels = 100, number_size_factor = 0.2, pixel_size = 1, slice_distance = 1, export_normalized_images = FALSE, number_of_expected_nuclei = number_of_expected_nulcei)";E:/PhD/Data/Cilia/artificialCilia/horizontal_blur/ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_1;NA;green;NA;max;TRUE;0,654459449149310;0,0654459449149310;5;1;5;100;0,2;1;1;45
"detectCilia::detectCilia(input_dir_tif = tif_dirs[i], cilium_color = ""green"", nucleus_color = NULL, min_cilium_area_in_pixels = 5, max_cilium_area_in_pixels = 100, number_size_factor = 0.2, pixel_size = 1, slice_distance = 1, export_normalized_images = FALSE, number_of_expected_nuclei = number_of_expected_nulcei)";E:/PhD/Data/Cilia/artificialCilia/horizontal_blur/ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_2.1;NA;green;NA;max;TRUE;0,367376211184863;0,0367376211184863;5;1;5;100;0,2;1;1;45
"detectCilia::detectCilia(input_dir_tif = tif_dirs[i], cilium_color = ""green"", nucleus_color = NULL, min_cilium_area_in_pixels = 5, max_cilium_area_in_pixels = 100, number_size_factor = 0.2, pixel_size = 1, slice_distance = 1, export_normalized_images = FALSE, number_of_expected_nuclei = number_of_expected_nulcei)";E:/PhD/Data/Cilia/artificialCilia/horizontal_blur/ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_2.2;NA;green;NA;max;TRUE;0,350850690470741;0,0350850690470741;5;1;5;100;0,2;1;1;45
"detectCilia::detectCilia(input_dir_tif = tif_dirs[i], cilium_color = ""green"", nucleus_color = NULL, min_cilium_area_in_pixels = 5, max_cilium_area_in_pixels = 100, number_size_factor = 0.2, pixel_size = 1, slice_distance = 1, export_normalized_images = FALSE, number_of_expected_nuclei = number_of_expected_nulcei)";E:/PhD/Data/Cilia/artificialCilia/horizontal_blur/ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_2.3;NA;green;NA;max;TRUE;0,340108339055467;0,0340108339055466;5;1;5;100;0,2;1;1;45
"detectCilia::detectCilia(input_dir_tif = tif_dirs[i], cilium_color = ""green"", nucleus_color = NULL, min_cilium_area_in_pixels = 5, max_cilium_area_in_pixels = 100, number_size_factor = 0.2, pixel_size = 1, slice_distance = 1, export_normalized_images = FALSE, number_of_expected_nuclei = number_of_expected_nulcei)";E:/PhD/Data/Cilia/artificialCilia/horizontal_blur/ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_2.4;NA;green;NA;max;TRUE;0,332387273975738;0,0332387273975738;5;1;5;100;0,2;1;1;45
"detectCilia::detectCilia(input_dir_tif = tif_dirs[i], cilium_color = ""green"", nucleus_color = NULL, min_cilium_area_in_pixels = 5, max_cilium_area_in_pixels = 100, number_size_factor = 0.2, pixel_size = 1, slice_distance = 1, export_normalized_images = FALSE, number_of_expected_nuclei = number_of_expected_nulcei)";E:/PhD/Data/Cilia/artificialCilia/horizontal_blur/ArtificialCilium_l_10w_3h_3_rotated_0_0_0_gblur_2.5;NA;green;NA;max;TRUE;0,324773022049287;0,0324773022049287;5;1;5;100;0,2;1;1;45
