Cilium.ID,Position,Total.Length.pixel.,Outer.Length.pixel.,Out.In.Ratio...,Analysis.Time.s.,Manual.Total.Length.pixel.,Manual.Outer.Length.pixel.,Manual.Out.In.Ratio...,Manual.Analysis.Time.s.,fileName
1,"[971,56,28,17]",18.6209913151892,4.574678681845346,24.567188917191903,0.0055321,18.6209913151892,4.574678681845346,24.567188917191903,0,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_projection.tif
2,"[840,113,24,13]",13.452710188587195,13.452710188587195,99.9992566608865,0.002392,13.452710188587195,13.452710188587195,99.9992566608865,0,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_projection.tif
3,"[23,189,19,16]",9.992566123798241,0,0,0.0146264,9.992566123798241,0,0,0,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_projection.tif
4,"[940,242,23,13]",13.152780350647143,3.488524146654909,26.52289121206267,0.0024435,13.152780350647143,3.488524146654909,26.52289121206267,0,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_projection.tif
5,"[382,344,20,14]",9.026100472939216,0,0,0.003445,9.026100472939216,0,0,0,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_projection.tif
6,"[27,345,20,14]",8.326376909284644,2.08277801311288,25.013916879904233,0.0029492,8.326376909284644,2.08277801311288,25.013916879904233,0,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_projection.tif
7,"[993,425,24,13]",12.513946688196732,4.578184954735911,36.58436850051121,0.0028985,12.513946688196732,4.578184954735911,36.58436850051121,0,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_projection.tif
8,"[592,427,20,16]",10.61056771632491,6.859681421277816,64.64891375991296,0.0024343,10.61056771632491,6.859681421277816,64.64891375991296,0,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_projection.tif
9,"[816,431,19,12]",9.149964047298445,9.149964047298445,99.99890711147503,0.0021011,9.149964047298445,9.149964047298445,99.99890711147503,0,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_projection.tif
10,"[264,436,24,13]",11.180339887498947,1.0236222296999038,9.155473666509618,0.0021047,11.180339887498947,1.0236222296999038,9.155473666509618,0,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_projection.tif
11,"[949,654,20,15]",6.4624050922734515,3.246873899482361,50.24172287870709,0.0024096,6.4624050922734515,3.246873899482361,50.24172287870709,0,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_projection.tif
12,"[695,658,22,12]",9.570544830376615,9.570544830376615,99.99895513832378,0.0020826,9.570544830376615,9.570544830376615,99.99895513832378,0,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_projection.tif
13,"[1,721,15,21]",16.278539710522033,6.870323073654077,42.204528116764585,0.0041586,16.278539710522033,6.870323073654077,42.204528116764585,0,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_projection.tif
14,"[935,746,23,12]",11.183859862403391,5.018299070358805,44.870503221569955,0.0031148,11.183859862403391,5.018299070358805,44.870503221569955,0,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_projection.tif
15,"[198,756,18,14]",7.938698071054075,4.7953570144558535,60.40406836823788,0.0020497,7.938698071054075,4.7953570144558535,60.40406836823788,0,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_projection.tif
16,"[326,819,25,14]",13.182442914191617,13.182442914191617,99.99924142101679,0.0027542,13.182442914191617,13.182442914191617,99.99924142101679,0,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_projection.tif
17,"[741,845,21,16]",11.910233506459488,11.910233506459488,99.99916039294833,0.0020978,11.910233506459488,11.910233506459488,99.99916039294833,0,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_projection.tif
18,"[448,853,22,14]",7.394222182615942,7.394222182615942,99.9986476109976,0.0023512,7.394222182615942,7.394222182615942,99.9986476109976,0,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_projection.tif
19,"[706,885,27,18]",18.39036176145105,18.39036176145105,99.99945623986338,0.0028427,18.39036176145105,18.39036176145105,99.99945623986338,0,190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1_projection.tif
