"fileName","cilium","vertical_length_in_um","vertical_length_in_layers","horizontal_length_in_um","horizontal_length_in_pixels","total_length_in_um","to_be_removed"
"210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_1024x1024.czi",15,1.28941263130995,3,0.658941127749079,3,1.44802912388559,"yes_or_no"
"210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_1024x1024.czi",16,1.7192168417466,4,1.1334069674425,5.16012851397291,2.05920322037247,"yes_or_no"
"210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_2048x2048.czi",1,0.429804210436651,1,1.51343260895498,13.7805871743791,1.57327998816401,"yes_or_no"
"210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_2048x2048.czi",2,0.429804210436651,1,0.658941127749079,6,0.786724265005409,"yes_or_no"
"210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_2048x2048.czi",3,0.859608420873302,2,1.46111303717443,13.3041903955718,1.69522209301241,"yes_or_no"
"210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_2048x2048.czi",4,0.859608420873302,2,2.68888878087866,24.4837239714918,2.82295049782518,"yes_or_no"
"210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_2048x2048.czi",5,0.429804210436651,1,1.89295981078478,17.2363787695365,1.94114103159853,"yes_or_no"
"210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_2048x2048.czi",6,0.429804210436651,1,2.01854143987585,18.3798644965852,2.06379291688996,"yes_or_no"
"210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_2048x2048.czi",7,0.429804210436651,1,1.89318341297844,17.238414783234,1.94135908437511,"yes_or_no"
"210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_2048x2048.czi",8,0.429804210436651,1,1.7573750991623,16.0018097989916,1.80917077647877,"yes_or_no"
"210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_2048x2048.czi",9,0.429804210436651,1,0.909855666754984,8.28470673727428,1.00626487250387,"yes_or_no"
"210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_2048x2048.czi",10,0.859608420873302,2,1.96628477806197,17.9040405455832,2.14597354729142,"yes_or_no"
"210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_2048x2048.czi",11,0.429804210436651,1,0.888593975117621,8.09110803102877,0.987082018843625,"yes_or_no"
"210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_2048x2048.czi",12,0.429804210436651,1,1.10272110334247,10.0408463539922,1.18352249284325,"yes_or_no"
"210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_2048x2048.czi",13,0.429804210436651,1,1.90448805327692,17.3413493838145,1.95238479926053,"yes_or_no"
"210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_2048x2048.czi",14,0.429804210436651,1,2.09896937908068,19.1122025081424,2.14252283853111,"yes_or_no"
"210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_2048x2048.czi",15,0.429804210436651,1,2.12125206402736,19.3150978868794,2.16435717441679,"yes_or_no"
"210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_2048x2048.czi",16,0.859608420873302,2,1.9733777344246,17.9686255841907,2.15247446441509,"yes_or_no"
"210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_2048x2048.czi",17,0.429804210436651,1,1.29490483723577,11.7907787148675,1.36437172237102,"yes_or_no"
"210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_2048x2048.czi",18,0.429804210436651,1,2.20000909128688,20.032221380402,2.24160024559555,"yes_or_no"
"210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_1_2048x2048.czi",19,0.429804210436651,1,1.46446899495598,13.3347481280329,1.52623756227412,"yes_or_no"
"210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_1024x1024.czi",1,2.248,8,2.20677490888148,10.0469138256087,3.15013642537412,"yes_or_no"
"210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_1024x1024.czi",2,1.967,7,1.50459963983015,6.85007920951821,2.47647109334573,"yes_or_no"
"210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_1024x1024.czi",3,1.967,7,0.658941127749079,3,2.07443785393519,"yes_or_no"
"210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_1024x1024.czi",4,1.967,7,1.32073511887279,6.01298839875595,2.36926787304094,"yes_or_no"
"210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_1024x1024.czi",5,1.686,6,0.917272979337019,4.17612260356427,1.91937117791786,"yes_or_no"
"210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_1024x1024.czi",6,2.248,8,1.11176318627995,5.06158959941245,2.50789182030791,"yes_or_no"
"210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_1024x1024.czi",7,2.248,8,2.01664953883033,9.18131887921066,3.01999658318757,"yes_or_no"
"210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_1024x1024.czi",8,1.686,6,0.887451991583965,4.04035483996335,1.90529972376168,"yes_or_no"
"210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_1024x1024.czi",9,1.967,7,2.21533358807132,10.0858794273723,2.96256508897896,"yes_or_no"
"210301_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_z-stack_2_1024x1024.czi",10,2.248,8,2.92760013607463,13.3286572022385,3.69111725047366,"yes_or_no"
