Cilium_number,horizontal_length_in_pixels,z_lower,z_upper
1,24,3,9
2,39.605,4,11
3,37.951,5,13
4,46.159,6,13
5,12.18,5,11
6,33.979,6,12
7,23.691,8,14
8,33.616,5,12
9,23.782,7,14
10,25.303,5,12
11,19.673,8,14
12,28.198,5,12
13,25.025,7,13
14,16.455,8,17
15,18.386,6,12
16,45.686,6,15
17,53.858,5,15
