Cilium_number,horizontal_length_in_pixels,z_lower,z_upper
1,6.265,4,10
2,10.361,6,13
3,9.349,5,11
4,11.199,5,13
5,9.477,6,12
6,3.203,5,11
7,6.315,7,14
8,9.486,5,13
9,5.194,8,14
10,6.75,6,15
11,7.085,5,12
12,7.126,5,13
13,5.524,7,14
14,5.365,9,18
15,5.125,5,12
16,11.699,5,15
17,14.763,5,15
