Cilium_number,horizontal_length_in_pixels,z_lower,z_upper
1,14.862,1,1
2,11.567,1,1
3,24.807,1,2
4,17.351,1,1
5,14.428,1,2
6,13.017,1,2
7,20.07,1,1
8,10.62,1,1
9,13.375,1,2
10,12.901,1,2
11,10.132,1,1
12,12.816,1,2
13,15.665,1,1
14,10.37,1,1
15,13.494,1,2
16,19.741,1,2
17,12.44,1,1
