Cilium_number,horizontal_length_in_pixels,z_lower,z_upper
1,10.02,6,12
2,7.907,6,12
3,5.219,5,11
4,8.062,7,12
5,8.96,8,15
6,11.336,5,12
7,5.204,6,13
8,11.102,7,14
9,6.895,7,13
10,4.568,7,13
11,4.807,8,13
