Cilium_number,horizontal_length_in_pixels,z_lower,z_upper
1,35.876,4,11
2,26.345,4,12
3,21.468,3,11
4,33.212,5,11
5,33.617,6,14
6,44.56,3,11
7,19.156,5,12
8,42.867,5,13
9,23.676,6,12
10,19.291,5,12
