Cilium_number,horizontal_length_in_pixels,z_lower,z_upper
1,10.6,2,9
2,11.364,3,10
3,13.276,2,8
4,19.772,3,9
5,15.7,3,10
6,5.336,6,12
7,15.042,4,12
8,11.241,4,10
9,14.535,3,10
10,16.986,3,11
11,9.431,5,11
12,19.801,3,10
13,19.648,4,11
14,25.466,3,10
15,18.992,4,11
16,16.108,5,10
