Cilium_number,horizontal_length_in_pixels,z_lower,z_upper
1,19.847,6,14
2,14.95,6,14
3,12.105,4,13
4,16.034,8,14
5,17.843,8,16
6,22.362,5,14
7,10.693,6,14
8,19.23,6,15
9,11.377,7,14
10,10.561,7,14
