Cilium_number,horizontal_length_in_pixels,z_lower,z_upper
1,6.039,2,10
2,6.5,2,9
3,5.491,2,10
4,9,3,9
5,7.601,3,10
6,3.041,6,12
7,7.311,3,11
8,5.199,4,10
9,6.939,3,11
10,9.088,3,11
11,4.803,4,11
12,8.252,4,11
13,9.588,3,10
14,10.272,4,12
15,10.808,2,10
16,8.936,4,11
