Cilium_number,horizontal_length_in_pixels,z_lower,z_upper
1,13.071,1,6
2,16.221,2,7
3,14.258,2,7
4,10.784,2,8
5,11.629,3,7
6,9.666,4,11
7,7.634,2,8
8,10.605,3,8
9,11.292,3,8
10,17.468,3,9
