Cilium_number,horizontal_length_in_pixels,z_lower,z_upper
1,7.921,2,4
2,7.213,2,4
3,6.653,3,5
4,11.41,3,5
5,8.278,3,5
6,9.57,3,5
7,7.751,2,5
8,4.813,3,4
9,6.794,3,6
10,9.487,4,7
11,4.685,3,5
12,7.981,3,5
13,9.387,3,5
14,7.193,3,6
15,9.605,3,6
16,6.918,3,5
