cilium_number,horizontal_length_in_pixels,z_lower,z_upper
1,13.866,1,13
2,10.77,6,13
3,10.057,5,15
4,10.739,3,18
5,16.117,2,14
6,14.667,2,13
7,12.194,4,18
8,9.9,2,18
9,17.378,3,14
10,18.463,2,14
11,17.35,4,18
12,15.502,3,13
13,18.414,5,15
14,7.779,9,20
15,16.735,3,16
16,8.93,7,19
17,12.408,4,13
18,18.521,3,16
19,12.485,2,14
20,15.133,6,17
21,16.431,6,15
22,15.587,5,17
23,12.094,7,17
24,14.765,1,14
25,15.541,3,16
26,15.019,5,15
27,10.84,6,19
28,11.545,7,17
29,10.817,5,14
