cilium_number,horizontal_length_in_um,zstack_layers,horizontal_length_in_um_old,zstack_layers_old,z_lower,z_upper
1,3.5749628242845803,10,4.114,10,8,17
2,3.45794644133383,9,4.831,11,9,17
3,3.32411802532826,11,4.201,12,7,17
4,3.55478907206946,9,3.273,9,10,18
5,2.44159202017373,8,3.629,10,9,16
6,2.95195605210121,10,3.867,11,9,18
7,4.71975936264291,12,4.009,13,6,17
8,2.58682771090654,10,5.468,11,8,17
9,3.0306914535986196,10,3.684,11,9,18
10,3.4371425488191196,12,3.582,14,6,17
11,2.61037518786604,9,4.06,11,9,17
12,3.35492433290218,10,3.741,11,9,18
13,2.54061443386292,11,3.969,12,9,19
14,2.2408304734347997,9,3.495,10,10,18
15,1.84451236983888,11,3.27,13,10,20
16,2.69754897449502,10,3.379,11,10,19
17,3.1293537429687,9,4.088,10,9,17
18,1.14453814487472,9,3.662,9,12,20
19,2.4077553638874303,11,2.168,11,6,16
20,3.30341708387071,10,3.862,11,7,16
21,3.66002435153534,9,4.052,11,8,16
22,2.58559475620831,11,4.684,13,8,18
23,3.37465719083804,11,3.364,12,10,20
24,1.94152098474449,9,4.851,10,10,18
25,2.45543388624785,7,3.316,9,11,17
26,2.7477321857050403,11,3.374,12,11,21
27,3.09159186348299,7,4.41,10,11,17
28,1.68143451517535,12,4.077,12,11,22
29,3.99177630898993,8,4.743,9,12,19
30,2.93890960765075,10,3.022,10,7,16
