cilium_number,horizontal_length_in_pixels,z_lower,z_upper
1,13.14,2,13
2,10.285,4,13
3,9.227,5,15
4,9.431,4,18
5,15.98,3,15
6,13.463,2,13
7,11.783,5,18
8,9.478,2,17
9,17.039,4,13
10,18.445,3,14
11,17.048,5,17
12,15.672,3,14
13,16.555,5,14
14,6.38,10,20
15,16.361,5,15
16,8.871,7,18
17,13.77,4,13
18,17.857,4,16
19,12.019,3,14
20,15.144,6,16
21,14.895,6,15
22,15.382,6,16
23,11.733,8,17
24,13.898,2,14
25,15.513,3,15
26,14.094,5,15
27,9.472,6,19
28,10.566,7,17
29,10.054,5,14
