fileName,cilium_number_automatic,cilium_number_clemens,comments
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_7.czi,30,28,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_7.czi,29,29,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_7.czi,7,30,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_8.czi,NA,1,at border
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_8.czi,3,2,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_8.czi,1,3,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_8.czi,2,4,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_8.czi,4,5,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_8.czi,6,6,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_8.czi,9,7,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_8.czi,8,8,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_8.czi,11,9,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_8.czi,13,10,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_8.czi,10,11,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_8.czi,5,12,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_8.czi,7,13,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_8.czi,12,14,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_8.czi,15,15,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_8.czi,14,16,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_8.czi,16,17,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_8.czi,17,18,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_8.czi,NA,19,at border
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_8.czi,18,20,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_8.czi,19,21,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_8.czi,20,22,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_8.czi,24,23,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_8.czi,21,24,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_8.czi,22,25,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_8.czi,25,26,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_8.czi,NA,27,at border
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_8.czi,23,28,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_8.czi,NA,29,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_9.czi,2,1,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_9.czi,1,2,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_9.czi,3,3,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_9.czi,4,4,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_9.czi,7,5,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_9.czi,6,6,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_9.czi,5,7,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_9.czi,8,8,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_9.czi,9,9,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_9.czi,13,10,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_9.czi,11,11,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_9.czi,10,12,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_9.czi,15,13,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_9.czi,16,14,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_9.czi,NA,15,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_9.czi,14,16,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_9.czi,12,17,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_9.czi,21,18,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_9.czi,22,19,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_9.czi,18,20,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_9.czi,19,21,NA
190815_EV38_2_Collagen_ITSwithAsc+Dexa_63x_zstack_9.czi,20,22,NA
