cilium_number,horizontal_length_in_pixels,z_lower,z_upper
1,10.772,4,13
2,9.667,6,14
3,9.75,7,15
4,17.871,7,17
5,7.85,7,20
6,15.391,13,22
7,11.885,7,17
8,6.003,10,22
9,11.265,7,18
10,12.364,7,16
11,13.151,10,18
12,20.632,5,15
13,12.196,9,19
14,9.751,12,19
15,13.692,7,16
16,10.966,7,17
17,14.317,9,17
18,19.308,10,19
19,16.447,5,16
20,12.987,8,16
21,14.099,9,18
22,8.359,8,19
23,11.102,8,18
24,15.29,11,21
25,13.807,9,18
26,5.028,14,25
27,7.575,8,21
28,15.023,8,17
29,11.539,12,20
30,8.262,10,14
