cilium_number,horizontal_length_in_pixels,z_lower,z_upper
1,16.507,5,17
2,17.098,8,17
3,16.319,8,18
4,16.206,9,18
5,14.076,6,16
6,13.946,10,18
7,16.325,6,18
8,12.865,10,17
9,22.768,6,18
10,13.127,8,17
11,15.311,9,18
12,13.652,9,19
13,13.031,9,19
14,14.836,9,18
15,13.072,10,19
16,8.544,10,21
17,13.595,5,18
18,16.277,7,17
19,17.293,8,18
20,12.709,7,18
21,16.185,10,20
22,11.108,9,19
23,12.649,12,17
24,14.623,11,19
25,13.549,11,21
26,19.154,11,20
27,8.672,12,22
28,9.775,8,17
29,10.44,10,18
30,6.597,12,20
