cilium_number,horizontal_length_in_um,zstack_layers,horizontal_length_in_um_old,zstack_layers_old,z_lower,z_upper
1,3.00726000580979,11,3.581,12,3,13
2,2.21446270365994,7,3.271,10,6,12
3,1.8048853377206,12,2.352,13,5,16
4,3.28844346482805,12,4.203,13,3,14
5,2.87530059913693,11,3.515,13,3,13
6,2.00736849017969,8,3.562,8,6,13
7,2.43724103664722,13,2.923,13,6,18
8,3.60288199486096,9,4.359,11,4,12
9,3.4418913250738603,15,4.431,15,4,18
10,1.8127535762135,11,1.553,14,8,18
11,1.91094702203664,15,2.174,17,3,17
12,3.85888527626017,12,4.507,13,3,14
13,3.2955992636604403,11,4.069,14,3,13
14,3.51244848624771,10,4.879,12,5,14
15,3.31472422290653,11,2.173,13,5,15
16,3.25826810772799,11,4.129,12,6,16
17,3.11515729711842,9,3.094,10,5,13
18,2.56180872191146,11,3.7,14,3,13
19,2.48320186050359,10,3.182,11,8,17
20,2.6535814490018903,13,3.288,14,1,13
21,3.53148592432998,11,4.349,16,5,15
22,3.1441778390903,9,4.193,12,7,15
23,3.40522102220524,10,3.879,12,6,15
24,1.80625473749099,13,2.543,15,6,18
25,2.2750440121769002,9,2.585,12,8,16
26,3.43856813791898,10,4.105,13,4,13
27,2.9505556031494202,10,3.853,12,5,14
28,2.04428158717049,12,1.89,15,6,17
29,2.4039061830127597,10,2.973,11,3,12
30,1.38815204048498,11,2.173,12,9,19
