cilium_number,horizontal_length_in_pixels,z_lower,z_upper
1,19.609,3,14
2,10.468,7,21
3,17.69,4,15
4,15.296,7,20
5,7.604,12,21
6,16.5,8,19
7,13.113,9,22
8,9.527,11,20
9,14.125,9,18
10,14.483,8,19
11,14.526,7,18
12,19.829,9,18
13,12.491,12,19
14,16.09,8,15
15,16.57,9,20
16,10.192,9,17
17,19.171,11,22
18,16.945,8,18
19,16.164,12,20
20,14.336,6,18
21,9.863,10,21
22,15.232,10,20
23,20.003,10,22
24,14.336,9,17
