cilium_number,horizontal_length_in_pixels,z_lower,z_upper
1,8.963,8,16
2,13.284,8,14
3,15.174,4,14
4,12.864,9,20
5,18.262,6,15
6,13.071,7,15
7,13.998,9,17
8,12.56,6,18
9,10.61,6,16
10,10.707,7,16
11,11.314,9,16
12,8.57,12,21
13,7.152,8,16
14,13.943,10,17
15,18.677,9,18
16,13.323,7,14
17,16.133,9,18
