cilium_number,horizontal_length_in_um,zstack_layers,horizontal_length_in_um_old,zstack_layers_old,z_lower,z_upper
1,2.30321697425512,10,3.106,13,5,14
2,4.1790428962665205,13,4.67,9,6,18
3,2.30825437495604,11,3.295,12,6,16
4,1.7312615908554,16,2.174,14,6,21
5,3.22353840666218,12,4.242,11,12,23
6,2.6166663734009497,12,3.49,7,6,17
7,1.16247677161451,15,1.771,13,9,23
8,2.31640851567064,13,3.047,9,5,17
9,2.55826803939989,11,3.549,13,6,16
10,3.0296874116672896,11,4.086,12,9,19
11,4.5780694510063205,13,5.105,16,5,17
12,2.98639099204088,12,3.08,12,8,19
13,3.17601152618928,11,3.792,12,7,17
14,2.61284186869412,11,2.98,12,10,20
15,2.76547109970344,11,3.886,12,7,17
16,2.87199692561412,11,4.142,12,7,17
17,3.24305594581678,11,3.668,11,8,18
18,4.3105696945005,10,4.9,12,10,19
19,2.01510958896952,13,2.993,10,7,19
20,1.48028204122554,7,2.951,13,9,15
21,3.54177510826836,12,3.887,15,8,19
22,2.4691137952097804,12,3.04,12,8,19
23,3.74893030504264,13,4.124,12,10,22
24,3.1290953496747904,12,4.052,14,8,19
25,3.67813412390211,11,4.219,12,8,18
26,2.13546316394882,17,2.245,17,7,23
27,2.7995620061672897,11,3.122,13,11,21
28,1.44197875927222,13,2.174,14,13,25
29,2.61360537633248,12,3.645,11,2,13
30,3.98547172264556,13,4.393,13,4,16
