cilium_number,horizontal_length_in_pixels,z_lower,z_upper
1,12.608,8,14
2,17.948,4,15
3,8.199,7,20
4,12.049,9,18
5,6.461,10,20
6,8.325,10,23
7,14.16,5,15
8,10.426,9,16
9,12.953,6,18
10,9.011,10,23
11,11.977,9,17
12,12.171,12,21
13,12.916,7,15
14,7.162,14,25
15,13.887,9,19
16,14.297,8,18
17,9.26,12,19
18,10.487,9,18
