cilium_number,horizontal_length_in_um,zstack_layers,horizontal_length_in_um_old,zstack_layers_old,z_lower,z_upper
1,3.2211916246210297,8,4.173,11,5,12
2,3.77267261547926,10,4.499,12,5,14
3,2.09628708438034,7,3.672,8,9,15
4,2.8918906969741403,7,3.814,11,8,14
5,1.5638190732502,12,2.573,15,10,21
6,3.4938726965069398,12,4.597,12,4,15
7,2.62174762130402,10,3.745,12,6,15
8,3.02740643080808,10,4.096,11,8,17
9,3.6515906545519203,11,5.211,12,6,16
10,2.6768568103150603,11,4.036,13,7,17
11,3.1461252273227003,11,4.8,12,6,16
12,3.49683231623618,12,4.55,13,5,16
13,2.4074439377590804,12,3.801,13,6,17
14,2.68995896119484,10,3.898,13,8,17
15,2.7967287998696904,10,3.752,11,6,15
16,3.77168254428414,11,4.674,12,6,16
17,1.78580610179571,14,2.736,15,8,21
18,2.94458078923994,10,4.425,10,9,18
19,2.0673373261421304,14,2.864,15,3,16
20,1.7627444941516501,10,2.585,13,7,16
21,2.6929166352872,12,3.889,14,6,17
22,1.4391910495106,9,2.428,12,11,19
23,4.65388829572407,12,5.896,16,6,17
24,2.5865990356514197,13,2.767,14,7,19
25,3.0117486355271597,8,4.24,10,10,17
26,3.86490889084603,12,5.079,13,7,18
27,1.68487616068768,12,1.965,13,7,18
28,2.74567181970663,8,3.42,11,9,16
29,2.6130613930481,8,4.365,8,8,15
