cilium_number,horizontal_length_in_pixels,z_lower,z_upper
1,18.96,4,14
2,8.667,8,21
3,17.206,5,15
4,13.703,7,19
5,6.566,13,21
6,16.188,8,18
7,12.33,10,21
8,9.25,12,20
9,12.851,10,17
10,13.46,8,18
11,13.851,7,17
12,19.359,9,18
13,11.228,12,19
14,13.823,8,19
15,15.321,9,19
16,10.372,9,17
17,18.364,11,20
18,16.026,8,17
19,15.557,12,19
20,13.316,6,17
21,8.581,10,20
22,13.578,10,18
23,19.121,11,21
24,15.655,9,17
