cilium_number,horizontal_length_in_pixels,z_lower,z_upper
1,12.042,9,15
2,16.803,4,14
3,14.786,6,16
4,8.832,10,21
5,17.814,6,16
6,16.538,4,15
7,12.8,6,16
8,15.569,8,17
9,12.369,6,15
10,17.625,7,16
11,16.2,8,17
12,13.193,7,16
13,14.077,9,17
14,18.673,6,16
15,13.554,6,15
16,8.635,8,16
17,8.053,9,20
18,14.262,6,17
19,8.078,11,20
20,12.397,9,19
21,15.328,10,16
22,23.331,5,17
23,18.471,7,18
24,12.386,9,16
25,15.679,10,17
26,7.596,9,15
