cilium_number,horizontal_length_in_pixels,z_lower,z_upper
1,9.328,9,15
2,16.227,5,14
3,13.691,6,14
4,6.183,10,21
5,16.144,6,15
6,15.464,4,15
7,11.057,6,16
8,14.057,8,16
9,11.93,7,14
10,16.535,6,15
11,14.337,7,16
12,11.996,7,16
13,12.896,8,16
14,18.04,6,16
15,12.513,6,14
16,8.25,7,16
17,7.765,9,20
18,12.524,6,17
19,6.901,11,18
20,10.527,8,19
21,14.6,10,16
22,20.503,6,17
23,17.591,7,17
24,11.892,10,16
25,13.8,10,16
26,13.623,7,15
