cilium_number,horizontal_length_in_pixels,z_lower,z_upper
1,12.801,7,14
2,16.726,3,15
3,9.321,7,20
4,12.6,8,19
5,7.173,10,20
6,9.159,10,23
7,14.615,5,16
8,10.625,9,16
9,13.62,6,18
10,9.179,11,23
11,12.706,8,18
12,12.222,11,22
13,12.089,6,16
14,7.583,13,26
15,14.919,9,19
16,14.261,7,19
17,9.247,11,17
18,9.306,10,18
