cilium_number,horizontal_length_in_pixels,z_lower,z_upper
1,8.3,7,16
2,13.183,8,14
3,14.284,5,14
4,12.042,10,20
5,17.156,6,16
6,12.417,8,15
7,12.993,9,17
8,12.317,7,18
9,10.036,7,16
10,10.887,7,16
11,10.372,9,16
12,6.751,10,19
13,7.032,8,19
14,13.626,10,17
15,18.112,9,18
16,12.93,7,15
17,15.265,10,18
