"fileName","numberOfNuclei","corrected_number"
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_10",27,NA
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_11",24,NA
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_12",20,NA
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_6",34,NA
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_7",33,NA
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_8",30,NA
"190815_EV38_2_Kollagen mit Asc u Dexa_63x_zstack_9",26,NA
