"fileName","cilium","vertical_length","horizontal_length","total_length","to_be_removed"
"180926_ES3_1_x63_zstack_10",1,1.12559637526694,1.1340087760374,1.59779319817801,"yes_or_no"
"180926_ES3_1_x63_zstack_11",1,1.96979365671714,1.11564367644561,2.26379059606584,"yes_or_no"
"180926_ES3_1_x63_zstack_11",2,1.6883945629004,0.889698310625707,1.90846516446119,"yes_or_no"
"180926_ES3_1_x63_zstack_11",3,3.93958731343428,7.71440386263441,8.66212301667443,"yes_or_no"
"180926_ES3_1_x63_zstack_11",4,1.6883945629004,1.93365601648859,2.56704144690618,"yes_or_no"
"180926_ES3_1_x63_zstack_11",5,2.25119275053387,1.54406976136763,2.72983886484645,"yes_or_no"
"180926_ES3_1_x63_zstack_11",6,2.81399093816734,4.45714400737694,5.27111731064526,"yes_or_no"
"180926_ES3_1_x63_zstack_11",7,1.6883945629004,1.38173095099741,2.18170956384571,"yes_or_no"
"180926_ES3_1_x63_zstack_11",8,1.96979365671714,2.07393511879718,2.8602961257575,"yes_or_no"
"180926_ES3_1_x63_zstack_11",9,1.6883945629004,0.885983813818282,1.90673635261397,"yes_or_no"
"180926_ES3_1_x63_zstack_11",10,1.96979365671714,1.52505936585668,2.49116300539131,"yes_or_no"
"180926_ES3_1_x63_zstack_11",11,1.96979365671714,1.42511817249793,2.43126486743566,"yes_or_no"
"180926_ES3_1_x63_zstack_11",12,3.65818821961754,13.2561711270832,13.7516694986705,"yes_or_no"
"180926_ES3_1_x63_zstack_11",13,2.25119275053387,2.20014640772767,3.1477790607813,"yes_or_no"
"180926_ES3_1_x63_zstack_11",14,2.25119275053387,2.24001106613025,3.17577051696785,"yes_or_no"
"180926_ES3_1_x63_zstack_11",15,2.53259184435061,1.56444576135743,2.97682918393052,"yes_or_no"
"180926_ES3_1_x63_zstack_11",16,1.96979365671714,1.99962670351412,2.80688332558548,"yes_or_no"
"180926_ES3_1_x63_zstack_11",17,2.53259184435061,1.49794552137851,2.9424245504497,"yes_or_no"
"180926_ES3_1_x63_zstack_11",18,1.96979365671714,2.40026004726319,3.10504997456256,"yes_or_no"
"180926_ES3_1_x63_zstack_11",19,1.96979365671714,1.2015865759353,2.30735722191233,"yes_or_no"
"180926_ES3_1_x63_zstack_12",1,1.6883945629004,1.9868587892656,2.60735192264366,"yes_or_no"
"180926_ES3_1_x63_zstack_12",2,1.96979365671714,2.05715748879201,2.84815448733669,"yes_or_no"
"180926_ES3_1_x63_zstack_13",1,2.25119275053387,4.0687908978281,4.65004603958983,"yes_or_no"
"180926_ES3_1_x63_zstack_13",2,2.53259184435061,1.60277324459589,2.99714923279834,"yes_or_no"
"180926_ES3_1_x63_zstack_13",3,2.81399093816734,17.9482801752455,18.167534402037,"yes_or_no"
"180926_ES3_1_x63_zstack_13",4,1.96979365671714,2.2238293851004,2.97077501404585,"yes_or_no"
"180926_ES3_1_x63_zstack_13",5,2.25119275053387,1.32544535944392,2.61240774017527,"yes_or_no"
"180926_ES3_1_x63_zstack_13",6,1.6883945629004,2.66586376112859,3.15555158299311,"yes_or_no"
"180926_ES3_1_x63_zstack_13",7,1.6883945629004,2.19404973191553,2.76848883439147,"yes_or_no"
"180926_ES3_1_x63_zstack_13",8,4.22098640725101,1.11564367644562,4.36593484410737,"yes_or_no"
"180926_ES3_1_x63_zstack_13",9,1.6883945629004,0.658941127749079,1.81242368387496,"yes_or_no"
"180926_ES3_1_x63_zstack_13",10,2.25119275053387,4.61454682353799,5.13438518098134,"yes_or_no"
"180926_ES3_1_x63_zstack_13",11,1.6883945629004,2.23703202805211,2.80267523886779,"yes_or_no"
"180926_ES3_1_x63_zstack_13",12,1.40699546908367,1.11502596862811,1.79524905256542,"yes_or_no"
"180926_ES3_1_x63_zstack_13",13,1.96979365671714,2.41823868766325,3.11896864372733,"yes_or_no"
"180926_ES3_1_x63_zstack_13",14,1.6883945629004,2.52068766466924,3.03389889463168,"yes_or_no"
"180926_ES3_1_x63_zstack_13",15,2.25119275053387,2.96619619269561,3.72373316090428,"yes_or_no"
"180926_ES3_1_x63_zstack_13",16,3.09539003198407,5.95156679991598,6.70839674020317,"yes_or_no"
"180926_ES3_1_x63_zstack_13",17,1.96979365671714,1.40372370817258,2.41878632767115,"yes_or_no"
"180926_ES3_1_x63_zstack_13",18,2.25119275053387,2.42439600040724,3.30840819229533,"yes_or_no"
"180926_ES3_1_x63_zstack_13",19,1.6883945629004,2.2420914899688,2.80671524195494,"yes_or_no"
"180926_ES3_1_x63_zstack_13",20,1.6883945629004,1.32035474401852,2.14336484297094,"yes_or_no"
"180926_ES3_1_x63_zstack_13",21,1.6883945629004,1.97682793486245,2.59971630838524,"yes_or_no"
"180926_ES3_1_x63_zstack_13",22,2.25119275053387,5.58516723004821,6.02179057985752,"yes_or_no"
"180926_ES3_1_x63_zstack_13",23,1.6883945629004,0.658941127749079,1.81242368387496,"yes_or_no"
"180926_ES3_1_x63_zstack_13",24,1.6883945629004,1.65540774540395,2.36454033663523,"yes_or_no"
"180926_ES3_1_x63_zstack_13",25,1.6883945629004,0.926113247843145,1.9257107643315,"yes_or_no"
"180926_ES3_1_x63_zstack_13",26,1.6883945629004,1.53752929808118,2.28356575173339,"yes_or_no"
"180926_ES3_1_x63_zstack_8",1,2.25119275053387,2.04132917094545,3.03889677090372,"yes_or_no"
"180926_ES3_1_x63_zstack_8",2,1.96979365671714,2.41805428042983,3.11882566892542,"yes_or_no"
"180926_ES3_1_x63_zstack_8",3,1.96979365671714,0.664522846416338,2.07886451301001,"yes_or_no"
