fileName;cilium;vertical_length;horizontal_length;total_length;to_be_removed
181004_ES3_367_x63_zstack_1;1;2,251192751;1,764442241;2,860266635;no
181004_ES3_367_x63_zstack_1;2;1,969793657;1,512068891;2,48323164;no
181004_ES3_367_x63_zstack_1;3;1,969793657;2,942859832;3,541258398;no
181004_ES3_367_x63_zstack_1;4;2,251192751;2,5966582;3,436641181;no
181004_ES3_367_x63_zstack_1;5;1,969793657;2,442223049;3,137601069;no
181004_ES3_367_x63_zstack_10;1;1,969793657;1,554381438;2,509220736;no
181004_ES3_367_x63_zstack_10;2;1,688394563;2,376190905;2,914954445;no
181004_ES3_367_x63_zstack_10;3;1,969793657;2,723780777;3,361408748;no
181004_ES3_367_x63_zstack_2;1;2,532591844;2,09422215;3,286303069;no
181004_ES3_367_x63_zstack_2;2;1,969793657;2,532463575;3,208342066;no
181004_ES3_367_x63_zstack_2;3;3,376789126;6,778097503;7,572668655;no
181004_ES3_367_x63_zstack_2;4;1,969793657;1,788157093;2,660374568;no
181004_ES3_367_x63_zstack_2;5;1,406995469;0,664522846;1,556029197;no
181004_ES3_367_x63_zstack_2;6;2,251192751;2,832407199;3,618065691;no
181004_ES3_367_x63_zstack_2;7;1,688394563;1,618429998;2,338801372;no
181004_ES3_367_x63_zstack_3;1;1,969793657;2,29177883;3,021975721;no
181004_ES3_367_x63_zstack_3;2;1,406995469;1,980276301;2,429224254;no
181004_ES3_367_x63_zstack_3;3;1,688394563;0,87858817;1,90331116;no
181004_ES3_367_x63_zstack_4;1;1,688394563;2,135246627;2,722123134;no
181004_ES3_367_x63_zstack_4;2;1,969793657;1,324846578;2,373879842;no
181004_ES3_367_x63_zstack_4;3;2,251192751;9,579290964;9,840258339;no
181004_ES3_367_x63_zstack_4;4;1,688394563;2,569039913;3,074189694;no
181004_ES3_367_x63_zstack_4;5;1,688394563;2,871408291;3,331015127;no
181004_ES3_367_x63_zstack_4;6;1,688394563;2,266364515;2,826143011;no
181004_ES3_367_x63_zstack_5;1;1,406995469;0,879870781;1,659460407;no
181004_ES3_367_x63_zstack_5;2;1,688394563;1,758136414;2,437564328;no
181004_ES3_367_x63_zstack_5;3;1,688394563;2,288945116;2,844283028;no
181004_ES3_367_x63_zstack_5;4;0,844197281;0,956894316;1,276054772;no
181004_ES3_367_x63_zstack_5;5;1,406995469;2,739170946;3,079398273;no
181004_ES3_367_x63_zstack_5;6;1,688394563;4,030463809;4,369818614;no
181004_ES3_367_x63_zstack_5;7;1,406995469;1,288067321;1,907551749;no
181004_ES3_367_x63_zstack_5;8;1,125596375;2,072706277;2,358617924;no
181004_ES3_367_x63_zstack_5;9;1,406995469;2,023121758;2,464276344;no
181004_ES3_367_x63_zstack_6;1;1,688394563;0,711149977;1,832050897;no
181004_ES3_367_x63_zstack_6;2;1,406995469;0,665039428;1,55624988;no
181004_ES3_367_x63_zstack_6;3;1,406995469;2,480435008;2,851700209;no
181004_ES3_367_x63_zstack_6;4;1,688394563;1,576645398;2,310083745;no
181004_ES3_367_x63_zstack_6;5;1,688394563;1,305067749;2,133981731;no
181004_ES3_367_x63_zstack_6;6;1,688394563;2,306594136;2,858505328;no
181004_ES3_367_x63_zstack_6;7;1,688394563;0,878702443;1,903363913;no
