fileName,cilium,cilium_shape,cilium_projection_area_in_pixels,cilium_projection_area_in_um2,number_of_z_stack_layers,lowest_cilium_layer,uppermost_cilium_layer,vertical_length_in_layers,vertical_length_in_um,horizontal_length_in_pixels,horizontal_length_in_um,total_length_in_um,to_be_removed
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2.czi,4,TRUE,30,1.4,28,14,24,11,3.1,7,1.55,3.46,
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2.czi,5,TRUE,27,1.3,28,15,21,7,1.97,11,2.42,3.12,
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2.czi,6,TRUE,40,1.9,28,13,23,11,3.1,10.5,2.31,3.86,
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2.czi,7,TRUE,36,1.7,28,15,25,11,3.1,8.3,1.83,3.6,
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2.czi,8,TRUE,46,2.2,28,12,23,12,3.38,12,2.65,4.29,
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2.czi,9,TRUE,39,1.9,28,13,22,10,2.81,10.4,2.28,3.62,
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2.czi,10,TRUE,32,1.5,28,12,22,11,3.1,7.6,1.67,3.52,
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2.czi,11,TRUE,27,1.3,28,13,22,10,2.81,7.7,1.7,3.29,
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2.czi,12,TRUE,31,1.5,28,12,25,14,3.94,7.4,1.63,4.26,
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2.czi,13,TRUE,25,1.2,28,18,27,10,2.81,7.1,1.56,3.22,
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2.czi,14,TRUE,40,1.9,28,13,23,11,3.1,10.6,2.34,3.88,
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2.czi,15,TRUE,37,1.8,28,14,24,11,3.1,9.3,2.03,3.7,
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2.czi,16,TRUE,28,1.4,28,13,22,10,2.81,6.4,1.4,3.14,
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2.czi,17,TRUE,43,2.1,28,16,26,11,3.1,9.4,2.07,3.72,
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2.czi,18,TRUE,27,1.3,28,13,23,11,3.1,7.6,1.67,3.52,
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2.czi,19,FALSE,19,0.9,28,15,23,9,2.53,5,1.1,2.76,
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2.czi,20,TRUE,28,1.4,28,15,24,10,2.81,8.2,1.8,3.34,
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2.czi,21,TRUE,40,1.9,28,16,25,10,2.81,10.2,2.24,3.6,
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2.czi,22,TRUE,18,0.9,28,15,21,7,1.97,5,1.11,2.26,
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2.czi,23,TRUE,42,2,28,14,25,12,3.38,10.6,2.34,4.11,
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2.czi,24,FALSE,28,1.4,28,14,24,11,3.1,6,1.32,3.36,
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2.czi,25,TRUE,20,1,28,15,21,7,1.97,8,1.76,2.64,
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2.czi,26,TRUE,43,2.1,28,14,26,13,3.66,10.1,2.21,4.27,
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_2.czi,27,TRUE,41,2,28,17,26,10,2.81,11.5,2.52,3.78,
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi,1,TRUE,21,1,27,11,18,8,2.25,9.1,2,3.01,
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi,2,TRUE,27,1.3,27,10,19,10,2.81,9.7,2.12,3.52,
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi,3,TRUE,27,1.3,27,11,20,10,2.81,8,1.76,3.32,
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi,4,TRUE,42,2,27,10,21,12,3.38,10.5,2.32,4.1,
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi,5,TRUE,36,1.7,27,17,26,10,2.81,9.8,2.15,3.54,
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi,6,TRUE,26,1.3,27,13,23,11,3.1,6.8,1.5,3.44,
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi,7,TRUE,32,1.5,27,12,21,10,2.81,10.1,2.21,3.58,
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi,8,TRUE,26,1.3,27,12,19,8,2.25,7,1.54,2.73,
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi,9,TRUE,27,1.3,27,12,20,9,2.53,7,1.54,2.96,
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi,10,TRUE,28,1.4,27,12,21,10,2.81,8.3,1.81,3.35,
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi,11,TRUE,19,0.9,27,15,24,10,2.81,5,1.11,3.02,
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi,12,TRUE,25,1.2,27,12,21,10,2.81,8,1.76,3.32,
190731_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi,13,TRUE,48,2.3,27,12,23,12,3.38,11.1,2.43,4.16,
